Force,Signal Name,Tag,Construct,Linguistic Surface,Boundary,Theoretical Anchor,Valence Applicability,Speaker State Applicability,Multi-Label Co-occurrence,Example 1,Example 2,Example 3
DEMAND GRAVITY,Brand Salience,brand_salience,The degree to which a brand surfaces in a consumer's mind unprompted within a category-relevant context. Reflects the strength and accessibility of brand-associated memory structures (Keller 1993; Romaniuk & Sharp 2004). Measures how easily and quickly the brand is retrieved relative to retrieval effort expended.,"References to the brand appearing without elicitation, low-effort recall language ('just came to mind', 'first thing I thought of', 'didn't have to search'), or the brand being defaulted to in category-neutral prompts.","Not Brand Mention Share (which is a corpus-level volumetric measure across many utterances). Not Category Salience (where the category, not the brand, is the priming cue). Not Brand Recall Language (which is about how the brand is referred to descriptively, not about retrieval ease).",Keller (1993) CBBE; Romaniuk & Sharp (2004) mental availability; Ehrenberg-Bass Institute,"positive, neutral",any,"Brand Recall Language, Category Salience, Brand Discovery",I didn't even have to think about it — the name just popped into my head.,"Whenever someone asks me for a recommendation, this brand is always the first one I mention.",Their name is just stuck in my head at this point.
DEMAND GRAVITY,Category Salience,category_salience,The strength of the bidirectional cognitive association between a brand and its product category — such that the category cues the brand and vice versa. A high-category-salience brand is treated as a default exemplar of its category (Nedungadi 1990; Rosch's prototype theory).,"Utterances where the category is the prompt and the brand emerges as the answer: 'when I think of X, I think of [Brand]', 'they basically ARE the category', '[Category] = [Brand] for me'. Also brand-as-noun usage ('I need to get a [Brand]' for a category item).","Differs from Brand Salience in directionality: Brand Salience is about the brand surfacing in any context; Category Salience requires the category to be the cue. Differs from Category Leadership Signals (Competitive Energy), which assert market position rather than mental association.",Nedungadi (1990) category accessibility; Rosch (1978) prototype theory; Keller (1993),"positive, neutral",any,"Brand Salience, Market Leader Benchmarking, Category Leadership Signals","When you say EV, this brand is basically what comes to mind first.","For headphones in this price range, they're THE name.",It's like saying 'Xerox' — the brand has just become the category.
DEMAND GRAVITY,Brand Discovery,brand_discovery,A first-encounter event in which the consumer becomes aware of the brand for the first time. Marks the entry point of the funnel and the moment of category-set expansion (Howard & Sheth 1969).,"Explicit novelty markers attached to the brand: 'just discovered', 'never heard of them until', 'someone introduced me to', 'first time seeing this brand', 'where has this been all my life'.",Not Product Curiosity (which presupposes awareness and asks deeper questions). Not Brand Salience (which assumes the brand is already in memory). Discovery is the *moment* of entry into awareness.,Howard & Sheth (1969) Theory of Buyer Behaviour; Lavidge & Steiner (1961) hierarchy of effects,"positive, neutral","never_user, prospective","Product Curiosity, Awareness & Salience Signals, Word-of-mouth Promotion",Just stumbled on this brand through an Instagram ad — never heard of them before.,A colleague mentioned them last week; I had no idea this brand even existed.,Where has this been all my life? Just discovered them yesterday.
DEMAND GRAVITY,Brand Recall Language,brand_recall_language,"The descriptive vocabulary consumers use to refer to a brand when its exact name is not immediately available — proxy references that index how the brand is stored in memory (visual, functional, categorical, or social associations).","Descriptive substitutes for the brand name: 'the one with the [colour] logo', 'that brand from the [ad/influencer]', 'the [adjective] one', 'you know — the one that does [X]'.","Not Brand Salience (which is about retrieval ease, not retrieval form). Not Tribe Language (which is in-group jargon among existing users). This signal is specifically about *imperfect retrieval* that still successfully points to the brand.",Keller (1993) brand associations; Krishnan (1996) brand image memory structure,"positive, negative, neutral",any,"Brand Salience, Brand Positioning Language",Which one was that again? The one with the blue logo and the weird ads?,"You know, the brand that always sponsors the cricket — yeah, that one.",What's it called... the cheap-looking one with the funny mascot.
DEMAND GRAVITY,Brand Mention Share,brand_mention_share,The relative proportion of brand references in a given discourse corpus or thread compared to competing brands. A corpus-level (not utterance-level) signal that indexes share-of-voice within a conversational context.,"Observer-style utterances that quantify or qualify brand presence in a discussion: 'most people here are mentioning [Brand]', '8 out of 10 comments are about [Brand]', 'almost no one is talking about [competitor]'.","Not Brand Salience (individual-level retrieval). Not Demand Momentum (which describes change over time, not snapshot share). This signal is meta-observational — the speaker is reporting on a conversational pattern rather than expressing their own brand pull.",Share-of-voice literature (Jones 1990); Ehrenberg-Bass mental availability metrics,"positive, negative, neutral",any,"Demand Momentum Signals, Topic Emergence","Reading these comments, it's like 8 out of 10 are recommending the same brand.",Notice how nobody in this thread is even mentioning the other options?,Half the influencers I follow are now talking about this brand specifically.
DEMAND GRAVITY,Product Curiosity,product_curiosity,"Open-ended interest in what a product is or does as a whole, prior to feature-level evaluation. Reflects the early information-gathering phase of the buyer behaviour funnel where the consumer is forming a basic product schema.","Broad, open questions about the product: 'what does this actually do?', 'is this any good?', 'what's the deal with [Product]?', 'curious about this one'.","Not Feature Curiosity (which targets a specific named functionality). Not Research Behaviour (which is deeper, technical-spec-level inquiry). Product Curiosity is wide-aperture, low-depth.",Howard & Sheth (1969) information search; Lavidge-Steiner hierarchy (knowledge stage),"positive, neutral","prospective, never_user","Brand Discovery, Feature Curiosity, Product Exploration",What exactly does this product do that others don't?,I keep hearing about this — what's the actual point of it?,Genuinely curious about what makes this one different.
DEMAND GRAVITY,Feature Curiosity,feature_curiosity,"Bounded interest in a specific, named functionality of the product. Indicates the consumer has moved past general awareness and is now evaluating the product's attribute composition (Bettman et al. 1998 constructive choice).","Questions or statements naming a particular feature: 'how does the [feature] work?', 'curious about the [feature]', 'is the [feature] any good?'.",Not Product Curiosity (whole-product). Not Feature Understanding Questions in Choice Architecture (which signal *confusion* about an existing feature rather than *interest* in learning about it). Feature Curiosity is positive-pull; Feature Understanding Questions are friction-driven.,"Bettman, Luce & Payne (1998) constructive choice; Howard-Sheth attribute search","positive, neutral","prospective, never_user, active_user","Product Curiosity, Research Behaviour, Feature Understanding Questions",How does the self-cleaning mode actually work on this?,I'm really intrigued by the AI assistant feature — what can it do?,Tell me more about the battery — does it really last 2 days?
DEMAND GRAVITY,Product Exploration,product_exploration,"Active, self-directed engagement with brand-controlled product information surfaces — websites, demos, product pages, configurators. Indicates the consumer has invested time in independent discovery beyond passive exposure.","Reports of time spent on product surfaces: 'spent an hour on their website', 'been browsing their catalog', 'tried the configurator', 'watched all their demo videos'.",Not Research Behaviour (which is technical-document deep-diving). Not Product Curiosity (verbal curiosity without action). Exploration is *behavioural evidence* of investigation.,Howard-Sheth extended problem-solving phase; Moe (2003) online consumer browsing behaviour,"positive, neutral",prospective,"Research Behaviour, Product Consideration, Feature Curiosity",I spent like an hour on their website going through all the models last night.,Been playing around with their online configurator — there are so many options.,Watched every single demo video they've put out.
DEMAND GRAVITY,Research Behaviour,research_behaviour,"Deep, technical, often cross-source information gathering — whitepapers, specifications, third-party reviews, benchmarks. Indicates high-involvement decision making (Petty & Cacioppo's ELM, 1986) and extensive problem-solving (Howard-Sheth).","References to technical sources or analytical effort: 'reading whitepapers', 'studying the specs', 'going through benchmarks', 'researching for weeks', 'comparing technical documentation'.","Not Product Exploration (which is brand-surface engagement). Not Information Seeking in Choice Architecture (which is friction-driven *missing* information). Research Behaviour is sustained, voluntary, and analytical.",Petty & Cacioppo (1986) ELM central route; Howard-Sheth extended problem-solving,"positive, neutral",prospective,"Product Exploration, Evaluation Initiation, Pros vs Cons Evaluation",Been reading the technical whitepapers and benchmark reports for three days straight.,I've gone through every review on YouTube and every spec sheet I can find.,Did a deep dive into the architecture before deciding to even shortlist this.
DEMAND GRAVITY,Product Consideration,product_consideration,"The placement of the brand or product into the consumer's evoked set — the subset of brands actively being weighed for a defined need (Howard & Sheth 1969; Shocker et al. 1991). Indicates qualified, need-anchored interest.","Statements connecting the brand to a specific personal need or use case: 'thinking about this for [purpose]', 'considering this for my [context]', 'might be the right one for [situation]'.",Not Shortlisting (which is the narrower final-choice subset). Not Purchase Intent (which is a firm decision). Consideration is open evoked-set membership.,Howard & Sheth (1969) evoked set; Shocker et al. (1991) consideration set,"positive, neutral",prospective,"Shortlisting Signals, Evaluation Initiation, Pros vs Cons Evaluation",I'm seriously thinking about getting this for my home office setup.,This is one of the options I'm weighing for the upgrade.,Considering it for my daughter — she needs something durable.
